date,equity,cash,positions
20230307,100000.0,0.0,5
20230308,100277.23586632156,0.0,5
20230309,99620.639465358,0.0,5
20230310,98385.57461974889,0.0,5
20230313,101336.46443876342,0.0,5
20230314,98861.7435826246,7.275957614183426e-12,5
20230315,103311.38171774206,9665.115261738802,5
20230316,101340.39320213659,9665.115261738802,5
20230317,102068.79476621015,19503.768573714344,5
20230320,100695.68007679697,0.0,5
20230321,102904.37475003814,3.637978807091713e-12,5
20230322,103405.79638803365,3.637978807091713e-12,5
20230323,104139.08166652091,3.637978807091713e-12,5
20230324,103108.91321421272,3.637978807091713e-12,5
20230327,101296.48993303129,0.0,5
20230328,102907.70480952025,13119.715457600623,4
20230329,99806.93687111847,0.0,5
20230330,101166.56131414483,0.0,5
20230331,102447.66057012368,0.0,5
20230403,103880.31589308828,0.0,5
20230404,104765.17309907415,14043.555352221536,4
20230406,103176.70510530024,0.0,5
20230407,104256.81548459391,0.0,5
20230410,102893.94025328584,0.0,5
20230411,104732.06680564054,0.0,5
20230412,105224.09437081526,0.0,5
20230413,102988.13166235872,0.0,5
20230414,103945.87834330602,0.0,5
20230417,104438.38930405288,0.0,5
20230418,103898.50047006094,0.0,5
20230419,103149.27922916204,0.0,5
20230420,104889.68823625581,0.0,5
20230421,99563.35202791833,0.0,5
20230424,102764.35384156962,0.0,5
20230425,103597.27420392318,25833.29924659632,4
20230426,103848.53253267774,0.0,5
20230427,102699.17160395748,0.0,5
20230428,104960.44300327208,0.0,5
20230504,103912.91425865258,0.0,5
20230505,103877.87754627835,0.0,5
20230508,107276.32327446964,0.0,5
20230509,103653.87284378262,7.275957614183426e-12,5
20230510,106132.1457726304,7.275957614183426e-12,5
20230511,105572.73094008089,7.275957614183426e-12,5
20230512,104256.52029485769,0.0,5
20230515,108551.84421563508,0.0,5
20230516,106098.1044776001,0.0,5
20230517,108692.76907598886,0.0,5
20230518,111630.97507548478,0.0,5
20230519,111725.37860450892,0.0,5
20230522,111732.95420379667,12186.656496310496,5
20230523,110043.60930011189,7.275957614183426e-12,5
20230524,109786.18426371581,7.275957614183426e-12,5
20230525,109468.25541554607,0.0,5
20230526,91735.8297653931,13080.381527625437,5
20230529,92335.35258895495,13080.381527625437,5
20230530,91265.6966494527,7.275957614183426e-12,5
20230531,89873.37382748007,7.275957614183426e-12,5
20230601,88348.17919230172,0.0,5
20230602,89839.08975009434,0.0,5
20230605,88811.46282474474,0.0,5
20230606,87672.76289162465,0.0,5
20230607,85497.36721727568,0.0,5
20230608,85013.5852253613,0.0,5
20230609,108496.06050426522,0.0,5
20230612,108064.1872757319,0.0,5
20230613,109955.4967264888,0.0,5
20230614,110870.9276331069,11776.756114285483,5
20230615,111022.54332831755,0.0,5
20230616,110642.95851698979,0.0,5
20230619,112041.22415024134,0.0,5
20230620,110219.5385564759,0.0,5
20230621,106183.87017634485,7.275957614183426e-12,5
20230626,102078.11719565303,20011.27042967751,4
20230627,105571.56691792184,0.0,5
20230628,106521.32634352302,0.0,5
20230629,104799.59224788478,0.0,5
20230630,105204.21452168054,0.0,5
20230703,105822.47533139159,0.0,5
20230704,106333.94354238556,0.0,5
20230705,106509.05263768391,0.0,5
20230706,105399.86140532394,0.0,5
20230707,104088.5586968121,0.0,5
20230710,102209.61329855924,0.0,5
20230711,103809.98778501435,0.0,5
20230712,101490.18587206161,0.0,5
20230713,104911.74474846595,0.0,5
20230714,108026.16307838894,12825.383731233002,5
20230717,105719.53427623634,7.275957614183426e-12,5
20230718,103602.50483206776,7.275957614183426e-12,5
20230719,102359.62160922712,0.0,5
20230720,100536.22980081794,0.0,5
20230721,98572.93061846672,0.0,5
20230724,99268.3105467671,0.0,5
20230725,101054.56163193277,0.0,5
20230726,97578.3706866413,0.0,5
20230727,98444.92390228076,0.0,5
20230728,97822.11436784804,0.0,5
20230731,98095.2191728242,0.0,5
20230801,98432.99147245113,0.0,5
20230802,97383.36212837078,0.0,5
20230803,97170.90196640373,0.0,5
