date,action,symbol,price,quantity,reason,predicted_return,partial_ratio,hold_days
20230104,buy,002193.SZ,10.7,1869.158878504673,open,13.806280136108398,,
20230104,buy,000721.SZ,15.9,1257.8616352201257,open,12.220380783081055,,
20230104,buy,600056.SH,17.2,1162.7906976744187,open,3.60062313079834,,
20230104,buy,002707.SZ,9.46,2114.164904862579,open,3.49688982963562,,
20230104,buy,603589.SH,55.7,359.0664272890485,open,3.281876802444458,,
20230105,sell,002193.SZ,10.13,1869.158878504673,stop_loss_next_open,,1.0,2.0
20230105,sell,600056.SH,16.57,1162.7906976744187,stop_loss_next_open,,1.0,2.0
20230106,buy,603697.SH,11.84,1658.9497656208698,open,2.534317970275879,,
20230109,sell,603589.SH,61.88,179.53321364452424,take_profit,,0.5,4.0
20230109,sell,603697.SH,11.78,1658.9497656208698,stop_loss_next_open,,1.0,2.0
20230110,buy,002511.SZ,13.53,1466.3538472839705,open,4.567738056182861,,
20230110,buy,600515.SH,4.86,4082.256698302905,open,4.438137054443359,,
20230110,sell,000721.SZ,18.99,628.9308176100628,take_profit,,0.5,5.0
20230111,sell,002707.SZ,9.51,1057.0824524312895,take_profit,,0.5,6.0
20230112,sell,002707.SZ,9.22,1057.0824524312895,short_trend_break_2x,,1.0,7.0
20230113,buy,600599.SH,13.6,1480.393034998169,open,8.309001922607422,,
20230116,sell,000721.SZ,16.86,628.9308176100628,short_trend_break_2x,,1.0,9.0
20230118,buy,002306.SZ,4.43,4599.653480145254,open,7.089662551879883,,
20230118,sell,603589.SH,57.86,179.53321364452424,short_trend_break_2x,,1.0,11.0
20230119,buy,600520.SH,16.09,1276.2275583187081,open,10.917941093444824,,
20230119,sell,002511.SZ,13.41,1466.3538472839705,short_trend_break_2x,,1.0,8.0
20230119,sell,002306.SZ,4.38,4599.653480145254,stop_loss_next_open,,1.0,2.0
20230120,buy,002043.SZ,13.42,1523.9795472367034,open,16.006237030029297,,
20230130,buy,000615.SZ,8.05,2540.59695949274,open,7.680601119995117,,
20230130,sell,600599.SH,13.07,1480.393034998169,stop_loss,,1.0,7.0
20230131,sell,600515.SH,4.63,4082.256698302905,short_trend_break_2x,,1.0,11.0
20230201,buy,603212.SH,32.4,620.3806711576374,open,4.7871294021606445,,
20230201,sell,002043.SZ,13.92,761.9897736183517,take_profit,,0.5,4.0
20230202,buy,002918.SZ,19.76,1021.0133206223769,open,5.114195346832275,,
20230203,sell,002043.SZ,13.89,761.9897736183517,short_trend_break_2x,,1.0,6.0
20230203,sell,000615.SZ,8.29,1270.29847974637,take_profit,,0.5,5.0
20230206,buy,605266.SH,79.42,256.5740497490496,open,4.35092830657959,,
20230206,sell,000615.SZ,7.58,1270.29847974637,short_trend_break_2x,,1.0,6.0
20230206,sell,603212.SH,31.18,620.3806711576374,short_trend_break_2x,,1.0,4.0
