date,action,symbol,price,quantity,reason,predicted_return,partial_ratio,hold_days
20240104,buy,000002.SZ,9.93,2014.098690835851,open,-0.4791364073753357,,
20240108,buy,000008.SZ,2.3,8695.652173913044,open,0.33269476890563965,,
20240109,buy,000016.SZ,3.7,5405.405405405405,open,0.06666155159473419,,
20240110,buy,000001.SZ,9.09,2200.2200220022,open,0.43215012550354004,,
20240110,buy,000007.SZ,4.7,4255.31914893617,open,-0.2536224126815796,,
20240111,sell,000002.SZ,9.76,2014.098690835851,horizon_expiry_5d,,1.0,5.0
20240115,sell,000008.SZ,2.31,8695.652173913044,horizon_expiry_5d,,1.0,5.0
20240116,sell,000016.SZ,3.74,5405.405405405405,horizon_expiry_5d,,1.0,5.0
20240116,buy,000010.SZ,3.01,6644.51827242525,open,7.540910720825195,,
20240116,buy,000004.SZ,15.24,1312.3359580052493,open,4.152870178222656,,
20240117,sell,000001.SZ,9.23,2200.2200220022,horizon_expiry_5d,,1.0,5.0
20240117,sell,000007.SZ,4.56,4255.31914893617,horizon_expiry_5d,,1.0,5.0
20240117,sell,000010.SZ,2.83,6644.51827242525,stop_loss,,1.0,1.0
20240117,buy,000010.SZ,2.83,7067.137809187279,open,7.158825397491455,,
20240117,buy,000002.SZ,9.34,2141.3276231263385,open,1.8369665145874023,,
20240117,buy,000008.SZ,2.27,8810.572687224669,open,0.40372955799102783,,
20240122,sell,000004.SZ,13.51,1312.3359580052493,stop_loss,,1.0,4.0
20240122,sell,000010.SZ,2.55,7067.137809187279,stop_loss,,1.0,3.0
20240122,sell,000008.SZ,2.12,8810.572687224669,stop_loss,,1.0,3.0
20240122,buy,000010.SZ,2.55,7843.137254901962,open,7.7070159912109375,,
20240122,buy,000007.SZ,4.06,4926.108374384237,open,1.8176995515823364,,
20240122,buy,000019.SZ,6.7,2985.0746268656717,open,1.526063323020935,,
20240124,sell,000002.SZ,9.41,2141.3276231263385,horizon_expiry_5d,,1.0,5.0
20240124,buy,000004.SZ,13.59,1471.6703458425313,open,0.18746508657932281,,
20240131,sell,000007.SZ,4.47,2463.0541871921187,take_profit,,0.5,3.0
20240131,sell,000004.SZ,12.35,1471.6703458425313,stop_loss,,1.0,1.0
20240131,buy,000009.SZ,10.8,1851.8518518518517,open,-2.419462203979492,,
20240131,buy,000016.SZ,3.14,6369.426751592357,open,-3.4005255699157715,,
20240201,sell,000010.SZ,2.42,7843.137254901962,stop_loss,,1.0,4.0
20240201,buy,000010.SZ,2.42,8264.462809917355,open,6.369288921356201,,
20240202,sell,000007.SZ,4.21,2463.0541871921187,horizon_expiry_5d,,1.0,5.0
20240202,sell,000019.SZ,6.38,2985.0746268656717,horizon_expiry_5d,,1.0,5.0
20240202,sell,000016.SZ,2.9,6369.426751592357,stop_loss,,1.0,2.0
20240202,sell,000010.SZ,2.28,8264.462809917355,stop_loss,,1.0,1.0
20240202,buy,000010.SZ,2.28,8771.929824561405,open,7.227243423461914,,
20240202,buy,000004.SZ,11.36,1760.5633802816903,open,7.0825042724609375,,
20240202,buy,000017.SZ,10.45,1913.8755980861245,open,5.358829975128174,,
20240205,sell,000009.SZ,10.0,1851.8518518518517,stop_loss,,1.0,3.0
20240205,sell,000010.SZ,2.05,8771.929824561405,stop_loss,,1.0,1.0
20240205,sell,000004.SZ,10.22,1760.5633802816903,stop_loss,,1.0,1.0
20240205,buy,000004.SZ,10.22,1956.9471624266143,open,11.815861701965332,,
20240205,buy,000010.SZ,2.05,9756.097560975611,open,11.055754661560059,,
20240205,buy,000016.SZ,2.61,7662.835249042146,open,4.666540145874023,,
20240206,sell,000004.SZ,9.25,1956.9471624266143,stop_loss,,1.0,1.0
20240206,buy,000004.SZ,9.25,2162.162162162162,open,21.63258934020996,,
20240207,sell,000010.SZ,1.78,9756.097560975611,stop_loss,,1.0,2.0
20240208,sell,000017.SZ,9.59,1913.8755980861245,stop_loss,,1.0,4.0
20240208,sell,000016.SZ,3.01,3831.417624521073,take_profit,,0.5,3.0
20240208,buy,000017.SZ,9.59,2085.505735140772,open,15.414955139160156,,
20240208,buy,000020.SZ,11.31,1768.3465959328028,open,9.22047233581543,,
20240228,sell,000016.SZ,3.14,3831.417624521073,horizon_expiry_5d,,1.0,5.0
20240228,sell,000004.SZ,12.2,1081.081081081081,take_profit,,0.5,4.0
20240228,sell,000020.SZ,14.17,884.1732979664014,take_profit,,0.5,2.0
20240228,buy,000012.SZ,5.63,3552.3978685612788,open,0.7253375053405762,,
20240304,sell,000004.SZ,13.1,1081.081081081081,horizon_expiry_5d,,1.0,5.0
20240304,buy,000019.SZ,6.67,2998.5007496251874,open,1.524450659751892,,
20240306,sell,000017.SZ,9.84,2085.505735140772,horizon_expiry_5d,,1.0,5.0
20240306,sell,000020.SZ,14.63,884.1732979664014,horizon_expiry_5d,,1.0,5.0
20240306,buy,000006.SZ,3.94,5076.1421319796955,open,5.471424579620361,,
20240306,buy,000011.SZ,8.18,2444.987775061125,open,5.438013553619385,,
20240308,sell,000012.SZ,5.68,3552.3978685612788,horizon_expiry_5d,,1.0,5.0
20240308,buy,000009.SZ,11.3,1769.9115044247787,open,3.34175705909729,,
20240311,sell,000019.SZ,6.58,2998.5007496251874,horizon_expiry_5d,,1.0,5.0
20240311,buy,000019.SZ,6.58,3039.51367781155,open,5.612793445587158,,
20240313,sell,000006.SZ,4.0,5076.1421319796955,horizon_expiry_5d,,1.0,5.0
20240313,sell,000011.SZ,8.32,2444.987775061125,horizon_expiry_5d,,1.0,5.0
20240313,buy,000017.SZ,9.81,2038.735983690112,open,-0.40007930994033813,,
20240321,buy,000012.SZ,5.61,3565.0623885918003,open,0.12860558927059174,,
