symbol,date,buy_price,sell_price,actual_return,predicted_return
600280.SH,2023-08-21,4.46,4.12,-7.623318385650221,30.515050888061523
605117.SH,2023-08-21,91.7,89.06,-2.878953107960742,15.63525676727295
000919.SZ,2023-08-21,7.72,7.7,-0.25906735751294785,10.274834632873535
301205.SZ,2023-08-21,105.95,94.67,-10.646531382727703,9.628106117248535
603776.SH,2023-08-21,13.8,13.32,-3.4782608695652204,6.731126308441162
600280.SH,2023-08-22,4.42,4.37,-1.1312217194570096,36.2144775390625
605117.SH,2023-08-22,89.49,93.42,4.391552128729475,17.85722541809082
002719.SZ,2023-08-22,11.59,11.2,-3.364969801553068,7.538774013519287
603348.SH,2023-08-22,39.6,38.75,-2.1464646464646497,5.416815757751465
603278.SH,2023-08-22,10.95,11.2,2.2831050228310503,5.2253336906433105
600280.SH,2023-08-23,4.21,4.37,3.8004750593824266,34.84151840209961
605117.SH,2023-08-23,87.43,94.15,7.686148919135307,17.497175216674805
600536.SH,2023-08-23,46.32,42.36,-8.549222797927463,10.390389442443848
603348.SH,2023-08-23,38.42,38.2,-0.5726184279021314,9.52383804321289
002719.SZ,2023-08-23,11.3,11.36,0.5309734513274222,8.789558410644531
600280.SH,2023-08-24,4.22,4.19,-0.7109004739336342,28.444835662841797
600536.SH,2023-08-24,43.19,43.2,0.023153507756436945,9.566632270812988
002529.SZ,2023-08-24,12.08,12.19,0.9105960264900615,9.203531265258789
600105.SH,2023-08-24,6.3,6.29,-0.15873015873015534,9.032421112060547
601099.SH,2023-08-24,4.28,4.09,-4.439252336448607,8.07851791381836
600280.SH,2023-08-25,4.07,4.61,13.267813267813267,22.11989974975586
002261.SZ,2023-08-25,14.18,17.0,19.887165021156562,11.971928596496582
600105.SH,2023-08-25,5.95,6.25,5.042016806722685,11.216985702514648
002805.SZ,2023-08-25,15.95,16.53,3.636363636363648,10.57748031616211
603348.SH,2023-08-25,37.49,38.1,1.6271005601493713,9.536412239074707
002261.SZ,2023-08-28,14.33,18.7,30.495464061409628,16.859058380126953
000936.SZ,2023-08-28,9.27,9.77,5.393743257820928,14.46679973602295
301205.SZ,2023-08-28,94.67,94.25,-0.4436463504806186,14.400930404663086
600280.SH,2023-08-28,4.12,4.75,15.291262135922326,12.323112487792969
002805.SZ,2023-08-28,16.03,16.98,5.926388022457886,11.291997909545898
600280.SH,2023-08-29,4.37,4.81,10.068649885583513,5.830874919891357
002719.SZ,2023-08-29,11.2,12.2,8.928571428571429,5.059904098510742
605011.SH,2023-08-29,26.7,29.82,11.685393258426972,4.5909223556518555
603665.SH,2023-08-29,27.27,26.0,-4.657132379904656,4.4009246826171875
