symbol,entry_date,exit_date,entry_price,exit_price,quantity,actual_return,predicted_return,hold_days,close_reason,position_closed
002193.SZ,20230104,20230105,10.7,10.13,1869.158878504673,-5.327102803738304,13.806280136108398,2,stop_loss_next_open,full
600056.SH,20230104,20230105,17.2,16.57,1162.7906976744187,-3.662790697674413,3.60062313079834,2,stop_loss_next_open,full
603589.SH,20230104,20230109,55.7,61.88,179.53321364452424,11.095152603231597,3.281876802444458,4,take_profit,partial
603697.SH,20230106,20230109,11.84,11.78,1658.9497656208698,-0.5067567567567609,2.534317970275879,2,stop_loss_next_open,full
000721.SZ,20230104,20230110,15.9,18.99,628.9308176100628,19.43396226415093,12.220380783081055,5,take_profit,partial
002707.SZ,20230104,20230111,9.46,9.51,1057.0824524312895,0.5285412262156336,3.49688982963562,6,take_profit,partial
002707.SZ,20230104,20230112,9.46,9.22,1057.0824524312895,-2.536997885835097,3.49688982963562,7,short_trend_break_2x,full
000721.SZ,20230104,20230116,15.9,16.86,628.9308176100628,6.037735849056598,12.220380783081055,9,short_trend_break_2x,full
603589.SH,20230104,20230118,55.7,57.86,179.53321364452424,3.877917414721717,3.281876802444458,11,short_trend_break_2x,full
002511.SZ,20230110,20230119,13.53,13.41,1466.3538472839705,-0.8869179600886861,4.567738056182861,8,short_trend_break_2x,full
002306.SZ,20230118,20230119,4.43,4.38,4599.653480145254,-1.1286681715575582,7.089662551879883,2,stop_loss_next_open,full
600599.SH,20230113,20230130,13.6,13.07,1480.393034998169,-3.897058823529407,8.309001922607422,7,stop_loss,full
600515.SH,20230110,20230131,4.86,4.63,4082.256698302905,-4.732510288065852,4.438137054443359,11,short_trend_break_2x,full
002043.SZ,20230120,20230201,13.42,13.92,761.9897736183517,3.7257824143070044,16.006237030029297,4,take_profit,partial
002043.SZ,20230120,20230203,13.42,13.89,761.9897736183517,3.502235469448589,16.006237030029297,6,short_trend_break_2x,full
000615.SZ,20230130,20230203,8.05,8.29,1270.29847974637,2.9813664596273095,7.680601119995117,5,take_profit,partial
000615.SZ,20230130,20230206,8.05,7.58,1270.29847974637,-5.838509316770193,7.680601119995117,6,short_trend_break_2x,full
603212.SH,20230201,20230206,32.4,31.18,620.3806711576374,-3.765432098765429,4.7871294021606445,4,short_trend_break_2x,full
002918.SZ,20230202,20230206,19.76,18.92,1021.0133206223769,-4.251012145748987,5.114195346832275,3,stop_loss,full
605266.SH,20230206,20230207,79.42,79.15,256.5740497490496,-0.33996474439687235,4.35092830657959,2,stop_loss_next_open,full
600520.SH,20230119,20230210,16.09,17.18,638.1137791593541,6.774394033561218,10.917941093444824,12,take_profit,partial
600520.SH,20230119,20230215,16.09,17.04,638.1137791593541,5.904288377874452,10.917941093444824,15,short_trend_break_2x,full
603259.SH,20230207,20230215,91.92,86.95,215.59581774819114,-5.40687554395126,5.586421489715576,7,stop_loss,full
002929.SZ,20230207,20230216,43.98,44.77,225.30204146673185,1.7962710322874178,5.269461631774902,8,take_profit,partial
002929.SZ,20230207,20230217,43.98,43.75,225.30204146673185,-0.5229649840836673,5.269461631774902,9,short_trend_break_2x,full
000032.SZ,20230216,20230217,27.8,26.0,717.8252812773275,-6.4748201438848945,5.353137493133545,2,stop_loss,full
002401.SZ,20230213,20230220,16.41,15.76,1215.0063222678443,-3.9609993906154806,10.492042541503906,6,short_trend_break_2x,full
603979.SH,20230208,20230223,28.58,32.26,346.4676875232415,12.876137158852345,6.708897113800049,12,take_profit,partial
600633.SH,20230220,20230227,9.01,9.25,1093.8883614916522,2.663706992230857,11.615327835083008,6,take_profit,partial
